Variable,Formula,child_inattentive,child_hyperactive_impulsive,current_inattentive,current_hyperactive_impulsive
barkley_mother_when_child_1,"if(isblankormissingcode([{var}]),"""",if([{var}]>=2,1,0))",1,,,
barkley_mother_when_child_2,"if(isblankormissingcode([{var}]),"""",if([{var}]>=2,1,0))",,1,,
barkley_mother_when_child_3,"if(isblankormissingcode([{var}]),"""",if([{var}]>=2,1,0))",1,,,
barkley_mother_when_child_4,"if(isblankormissingcode([{var}]),"""",if([{var}]>=2,1,0))",,1,,
barkley_mother_when_child_5,"if(isblankormissingcode([{var}]),"""",if([{var}]>=2,1,0))",1,,,
barkley_mother_when_child_6,"if(isblankormissingcode([{var}]),"""",if([{var}]>=2,1,0))",,1,,
barkley_mother_when_child_7,"if(isblankormissingcode([{var}]),"""",if([{var}]>=2,1,0))",1,,,
barkley_mother_when_child_8,"if(isblankormissingcode([{var}]),"""",if([{var}]>=2,1,0))",,1,,
barkley_mother_when_child_9,"if(isblankormissingcode([{var}]),"""",if([{var}]>=2,1,0))",1,,,
barkley_mother_when_child_10,"if(isblankormissingcode([{var}]),"""",if([{var}]>=2,1,0))",,1,,
barkley_mother_when_child_11,"if(isblankormissingcode([{var}]),"""",if([{var}]>=2,1,0))",1,,,
barkley_mother_when_child_12,"if(isblankormissingcode([{var}]),"""",if([{var}]>=2,1,0))",,1,,
barkley_mother_when_child_13,"if(isblankormissingcode([{var}]),"""",if([{var}]>=2,1,0))",1,,,
barkley_mother_when_child_14,"if(isblankormissingcode([{var}]),"""",if([{var}]>=2,1,0))",,1,,
barkley_mother_when_child_15,"if(isblankormissingcode([{var}]),"""",if([{var}]>=2,1,0))",1,,,
barkley_mother_when_child_16,"if(isblankormissingcode([{var}]),"""",if([{var}]>=2,1,0))",,1,,
barkley_mother_when_child_17,"if(isblankormissingcode([{var}]),"""",if([{var}]>=2,1,0))",1,,,
barkley_mother_when_child_18,"if(isblankormissingcode([{var}]),"""",if([{var}]>=2,1,0))",,1,,
barkley_mother_current_1,"if(isblankormissingcode([{var}]),"""",if([{var}]>=2,1,0))",,,,
barkley_mother_current_2,"if(isblankormissingcode([{var}]),"""",if([{var}]>=2,1,0))",,,,
barkley_mother_current_3,"if(isblankormissingcode([{var}]),"""",if([{var}]>=2,1,0))",,,,
barkley_mother_current_4,"if(isblankormissingcode([{var}]),"""",if([{var}]>=2,1,0))",,,,
barkley_mother_current_5,"if(isblankormissingcode([{var}]),"""",if([{var}]>=2,1,0))",,,1,
barkley_mother_current_6,"if(isblankormissingcode([{var}]),"""",if([{var}]>=2,1,0))",,,,1
barkley_mother_current_7,"if(isblankormissingcode([{var}]),"""",if([{var}]>=2,1,0))",,,1,
barkley_mother_current_8,"if(isblankormissingcode([{var}]),"""",if([{var}]>=2,1,0))",,,,1
barkley_mother_current_9,"if(isblankormissingcode([{var}]),"""",if([{var}]>=2,1,0))",,,1,
barkley_mother_current_10,"if(isblankormissingcode([{var}]),"""",if([{var}]>=2,1,0))",,,,1
barkley_mother_current_11,"if(isblankormissingcode([{var}]),"""",if([{var}]>=2,1,0))",,,1,
barkley_mother_current_12,"if(isblankormissingcode([{var}]),"""",if([{var}]>=2,1,0))",,,,1
barkley_mother_current_13,"if(isblankormissingcode([{var}]),"""",if([{var}]>=2,1,0))",,,1,
barkley_mother_current_14,"if(isblankormissingcode([{var}]),"""",if([{var}]>=2,1,0))",,,,1
barkley_mother_current_15,"if(isblankormissingcode([{var}]),"""",if([{var}]>=2,1,0))",,,1,
barkley_mother_current_16,"if(isblankormissingcode([{var}]),"""",if([{var}]>=2,1,0))",,,,1
barkley_mother_current_17,"if(isblankormissingcode([{var}]),"""",if([{var}]>=2,1,0))",,,1,
barkley_mother_current_18,"if(isblankormissingcode([{var}]),"""",if([{var}]>=2,1,0))",,,,